player_id,team_id,player_name,primary_role
333682,42,C. Mosquera,CB
19465,42,D. Raya,GK
2937,42,D. Rice,DM
19586,42,E. Eze,CM
313236,42,E. Nwaneri,CM
127769,42,G. Martinelli,ST
22224,42,Gabriel,FB_L
61431,42,J. Kiwior,CB
38746,42,J. Timber,FB_L
2273,42,K. Arrizabalaga,GK
978,42,K. Havertz,ST
1946,42,L. Trossard,ST
442044,42,M. Dowman,CM
313245,42,M. Lewis-Skelly,CB
47311,42,M. Merino,CM
37127,42,M. Odegaard,DM
47315,42,M. Zubimendi,DM
136723,42,N. Madueke,ST
157052,42,R. Calafiori,FB_L
18979,42,V. Gyökeres,ST
22090,42,W. Saliba,FB_L
278079,44,A. Ramsey,CM
47903,44,H. Ekdal,FB_L
180560,44,H. Mejbri,DM
196855,44,J. Anthony,DM
22,44,J. Bruun Larsen,DM
19827,44,J. Cullen,DM
20303,44,J. Laurent,CM
1746,44,J. Worrall,CB
627,44,K. Walker,FB_L
98936,44,L. Foster,ST
161621,44,L. Tchaouna,ST
270508,44,L. Ugochukwu,DM
330238,44,Lucas Pires,CB
18886,44,M. Dubravka,GK
37882,44,M. Edwards,ST
179400,44,M. Esteve,FB_L
328273,44,M. Weiss,GK
