fixture_id,team_id,opponent_team_id,is_home,player_id,player_name,expected_minutes,proj_shots_total,proj_shots_on,proj_fouls_committed,proj_fouls_drawn,proj_yellow_cards,role,shots_total_factor_x,shots_on_factor_x,fouls_committed_factor_x,fouls_drawn_factor_x,yellow_cards_factor_x,proj_shots_total_raw,proj_shots_on_raw,proj_fouls_committed_raw,proj_fouls_drawn_raw,proj_yellow_cards_raw,shots_total_factor_y,shots_on_factor_y,fouls_committed_factor_y,fouls_drawn_factor_y,yellow_cards_factor_y,role_old,shots_total_factor,shots_on_factor,fouls_committed_factor,fouls_drawn_factor,yellow_cards_factor
1379118,39,33,True,2032,Jørgen Strand Larsen,82.0,1.6958637469586373,1.271897810218978,3.086731894532479,0.4661256400990499,0.0,ST,1.0,1.0,1.0,1.0,1.0,1.6958637469586373,1.271897810218978,3.086731894532479,0.4661256400990499,0.0,1.0,1.0,1.0,1.0,1.0,ST,1.0,1.0,1.0,1.0,1.0
1379118,39,33,True,285,Ki-Jana Hoever,60.0,0.0,0.0,0.0,0.0,0.0,CM,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,CM,1.0,1.0,1.0,1.0,1.0
1379118,39,33,True,66407,Ladislav Krejčí,20.0,0.0,0.0,0.0,0.0,0.0,CB,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,CB,1.0,1.0,1.0,1.0,1.0
1379118,39,33,True,3080,Marshall Munetsi,90.0,0.275750202757502,0.0,2.0076305005089297,0.6063422960638047,0.0,ST,1.0,1.0,1.0,1.0,1.0,0.275750202757502,0.0,2.0076305005089297,0.6063422960638047,0.0,1.0,1.0,1.0,1.0,1.0,ST,1.0,1.0,1.0,1.0,1.0
1379118,39,33,True,18742,Matt Doherty,90.0,0.0,0.0,3.613734900916073,0.9095134440957072,0.9430762784287658,CB,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.613734900916073,0.9095134440957072,0.9430762784287658,1.0,1.0,1.0,1.0,1.0,FB_L,1.0,1.0,1.0,1.0,1.0
1379118,39,33,True,282770,Rodrigo Gomes,22.0,0.8088672614220059,0.4044336307110029,1.1778098936319052,0.0,0.0,CB,1.0,1.0,1.0,1.0,1.0,0.8088672614220059,0.4044336307110029,1.1778098936319052,0.0,0.0,1.0,1.0,1.0,1.0,1.0,CB,1.0,1.0,1.0,1.0,1.0
1379118,39,33,True,19143,Sam Johnstone,20.0,0.0,0.0,0.0,0.0,0.0,GK,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,GK,1.0,1.0,1.0,1.0,1.0
1379118,39,33,True,135334,Santiago Bueno,62.5,0.0,0.0,1.8068674504580364,0.4547567220478535,0.0,CB,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.8068674504580364,0.4547567220478535,0.0,1.0,1.0,1.0,1.0,1.0,CB,1.0,1.0,1.0,1.0,1.0
1379118,39,33,True,7722,Saša Kalajdžić,15.0,0.0,0.0,0.0,0.0,0.0,ST,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,ST,1.0,1.0,1.0,1.0,1.0
1379118,39,33,True,41606,Toti Gomes,76.33333333333333,0.0,0.0,1.2045783003053576,0.3031711480319023,0.3143587594762552,CB,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.2045783003053576,0.3031711480319023,0.3143587594762552,1.0,1.0,1.0,1.0,1.0,FB_L,1.0,1.0,1.0,1.0,1.0
